,beneficiario,destino,exercicio,motivo,nEmpenho,periodo,situacaoEmpenho,unidadeOrcamentaria,valorTotalDiario
5942,ERICK BENEVIDES DE VASCONCELOS,BRASILIA-DF,2018,"PARA PARTICIPAR DE REUNIAO NO MINISTERIO, TRATA DE CONVENIOS E PROJETOS TURISTICOS, CIDADE DE BRASILIA, NO DIA 06 11 2018.                                                                                                                                     ",0185,06/11/2018 a 07/11/2018,Pago,30.101-SECRETARIA MUNICIPAL DO TURISMO DE FORTALEZA,"1.100,00"
5943,JOSE ANTONIO DE OLIVEIRA,BARREIRA-CE,2018,"PAGAMENTO DE 3,50 DIARIAS TECNICAS PARA REALIZAR VERIFICACAO FISCALIZACAO EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE BARREIRAS-CE.                                                                                                  ",1194,29/10/2018 a 01/11/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"896,88"
5944,JOSE ANTONIO DE OLIVEIRA,ACARAPE-CE,2018,"PAGAMENTO DE 5,50 DIARIAS TECNICAS PARA REALIZAR VERIFICACAO FISCALIZACAO EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE ACARAPE-CE.                                                                                                    ",1195,05/11/2018 a 10/11/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.345,32"
5945,MARIA EDILENE SILVA OLIVEIRA,GRAMADO-RS,2018,DIARIAS PARA SERVIDORA MARIA EDILENE SILVA OLIVEIRA PARA GRAMADO COM O OBJETIVO DE PARTICIPAR DO APG-COMPACTO PROGRAMA GESTAO AVANCADA APG AMANA-KEY.                                                                                                          ,0038,27/11/2018 a 30/11/2018,Anulado,28.902-FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO,"1.920,00"
5946,JOSE NAIRTON MACEDO COSTA,ABAIARA-CE,2014,REALIZAR SUPREVISAO EM INSTRUMENTOS DE MEDIR NO MUNICIPIO DE ABAIARA-CE                                                                                                                                                                                        ,0581,02/06/2014 a 13/06/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
5947,FRANCISCO LUIS DO O CARNEIRO,JOAO PESSOA-PB,2018,ACOMPANHAR O SR. ANTONIO AUGUSTO FERREIRA DE OLIVEIRA E PARTICIPAR DO  VII SIMPOSIO SOBREA .                                                                                                                                                                   ,0306,27/11/2018 a 30/11/2018,Pago,23.901-FUNDO DE INVESTIMENTO E DESENVOLVIMENTO DE ATIVIDADES DA ADMINISTRACAO FAZENDARIA,"1.400,00"
5948,MARCOS ALFREDO ALVES DA SILVA,PINDORETAMA-CE,2018,"PAGAMENTO DE DESPESA COM 11,5 DIARIAS TECNICAS, PARA REALIZAR VERIFICACAO FISCALIZACAO EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO INTERIOR DO ESTADO, PINDORETAMA-CE.                                                                            ",1261,10/12/2018 a 21/12/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.690,64"
5949,JANCEY DE OLIVEIRA,CAUCAIA-CE,2018,"PAGAMENTO DE DESPESA DE 0,5 MEIA DIARIAS TECNICA, PARA REALIZAR VISITA INICIAL DE CONCESSAO DO REGISTRO, NO INTERIOR DO ESTADO DO CEARA, CAUCAIA-CE.                                                                                                           ",1248,24/10/2018 a 24/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"251,96"
5950,FRANCISCO CARLOS MELO COSTA,ITAITINGA-CE,2018,"PAGAMENTO DE DESPESA DE 0,5 MEIA DIARIAS TECNICA, PARA REALIZAR VERIFICACAO EM MEDIDORES DE VELOCIDADE, NO INTERIOR DO ESTADO DO CEARA, ITAITINGA-CE.                                                                                                          ",1239,02/10/2018 a 02/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"224,22"
5951,FRANCISCO CARLOS MELO COSTA,JAGUARIBE-CE,2018,"PAGAMENTO DE DESPESA DE 2,5 MEIA DIARIAS TECNICAS, PARA REALIZAR VERIFICACAO EM MEDIDORES DE VELOCIDADE, NO INTERIOR DO ESTADO DO CEARA, JAGUARIBE-CE.                                                                                                         ",1240,09/10/2018 a 11/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"672,66"
5952,ANTONIO LUIZ PEREIRA FRANCO,EUSEBIO-CE,2018,"PAGAMENTO DE DESPESA DE 0,5 MEIA DIARIA TECNICA, PARA REALIZAR VERIFICACAO EM MEDIDORES DE VELOCIDADE, NO INTERIOR DO ESTADO DO CEARA, EUSEBIO-CE.                                                                                                             ",1269,16/10/2018 a 16/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"251,96"
5953,FRANCISCO CARLOS MELO COSTA,CAUCAIA-CE,2018,"DIARIAS PARA REALIZAREM VERIFICACOES EM MEDIDORES DE VELOCIDIDADE, NO INTERIOR DO ESTADO DO CEARA.                                                                                                                                                             ",1074,14/08/2018 a 14/08/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"224,22"
5954,JULIO FERNANDES SANTOS,SALVADOR-BA,2018,PAGAMENTO DE DIARIAS PARA VISITAS TECNICAS AS SECRETARIAS DO MUNICIPIO DE SALVADOR.                                                                                                                                                                            ,0058,21/11/2017 a 23/11/2017,Pago,11.204-AGENCIA DE FISCALIZACAO DE FORTALEZA,"1.650,00"
5955,LAURA JUCA ARAUJO,SALVADOR-BA,2018,VISITA TECNICA AS SECRETARIAS DO MUNICIPIO DE SALVADOR.                                                                                                                                                                                                        ,0059,21/11/2017 a 23/11/2017,Pago,11.204-AGENCIA DE FISCALIZACAO DE FORTALEZA,"1.650,00"
5956,CRISTIANA FERREIRA DA SILVA,RIO DE JANEIRO-RJ,2018,"ACOMPANHAR A SECRETARIA MUNICIPAL DA SAUDE E PARTICIPAR DA SESSAO INTRODUTORIA DO PROGRAMA AVANCADO DE IMPLEMENTACAO DE POLITICAS PUBLICAS (PAIPP), NOS DIAS 25 E 26 DE ABRIL DE 2018, CONFORME ATO NO 0167 2018 - SEGOV.                                      ",3622,25/04/2018 a 27/04/2018,Pago,25.901-FUNDO MUNICIPAL DE SAUDE,"1.650,00"
5957,JOSE NAIRTON MACEDO COSTA,BARRO-CE,2014,REALIZAR SUPREVISAO EM INSTRUMENTOS DE MEDIR NO MUNICIPIO DE BARRO-CE                                                                                                                                                                                          ,0582,14/07/2014 a 25/07/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
5958,MORONI BING TORGAN,SAO PAULO-SP,2018,PARTICIPACAO NO 16O FORUM NACIONAL DE SEGURANCA MUNICIPAL - CONFORME ATO NO 183 2018 - SEGOV - PUBLICADO NO D.O.M. EM 03 05 2018.                                                                                                                              ,0049,24/04/2018 a 26/04/2018,Pago,12.101-GABINETE DO VICE-PREFEITO,"2.100,00"
5959,ANA MANUELA MARINHO NOGUEIRA,BRASILIA-DF,2018,"APRESENTAR O PROJETO DA BEIRA MAR E DOS CORREDORES GASTRONOMICOS, NO DIA 15 06 2018.                                                                                                                                                                           ",0371,14/06/2018 a 15/06/2018,Pago,27.101-SECRETARIA MUNICIPAL DA INFRAESTRUTURA,"1.100,00"
5960,AIRTON DOUGLAS DE ANDRADE LUCAS,BRASILIA-DF,2018,PARTICIPACAO DO COORDENADOR EXECUTIVO NO SEMINARIO NACIONAL SOBRE  CONTRATOS ADMINISTRATIVOS - COMO OS TRIBUNAIS DE CONTAS E O JUDICIARIO INTERPRETAM E ORIENTAM OS AGENTES NA SOLUCAO DOS GRANDES PROBLEMAS                                                   ,0952,02/09/2018 a 05/09/2018,Anulado,"18.101-SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO","1.920,00"
5961,RENATO CARVALHO BORGES,BRASILIA-DF,2018,PARTICIPACAO NO XI ENCONTRO NACIONAL DE VIGILANCIA SOCIO ASSISTENCIAL DO SUAS 2018                                                                                                                                                                             ,1022,18/06/2018 a 21/06/2018,Pago,31.901-FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,"2.200,00"
5962,ANA RICARDA RIBEIRO DA SILVA PITOMBEIRA,ICO-CE,2018,"REALIZAR VERIFICACAO FISCALIZACAO EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE ICO – CEARA.                                                                                                                                           ",1042,01/10/2018 a 06/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.345,32"
5963,EDUARDO COSTA GOMES,OROS-CE,2018,"REALIZAR VERIFICACAO FISCALIZACAO EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE OROS – CEARA.                                                                                                                                          ",1046,22/10/2018 a 01/11/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.466,42"
5964,JOSE CARLOS MOREIRA,ITAITINGA-CE,2018,"MEIAS DIARIAS PARA REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE ITAITINGA CE.                                                                                                                     ",0533,23/04/2018 a 25/04/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"336,33"
5965,JOSE COELHO DE SOUSA,IPU-CE,2018,DIARIAS PARA REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO.                                                                                                                                                         ,0535,23/04/2018 a 04/05/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.690,64"
5966,JOSE CARLOS MOREIRA,PACATUBA-CE,2018,"MEIAS DIARIAS PARA REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE PACATUBA CE.                                                                                                                      ",0540,09/05/2018 a 12/05/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"448,44"
5967,JOSE CARLOS MOREIRA,PACATUBA-CE,2018,"MEIAS DIARIAS PARA REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE PACATUBA CE.                                                                                                                      ",0541,14/05/2018 a 14/05/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"112,11"
5968,LUIS ALBUQUERQUE SAMPAIO,PORTO ALEGRE-RS,2014,"DIARIA DE DESLOCAMENTO E PASSAGEM AEREA DE IDA E VOLTA, PARA O TRECHO FORTALEZA PORTO ALEGRE FORTALEZA, PARA PARTICIPAR DO CURSO DE FORMACAO DE AVALIADORDE POSTO DE ENSAIO DE CRONOTACOGRAFO.                                                                 ",0583,25/05/2014 a 30/05/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"13.393,32"
5969,MARCOS ALFREDO ALVES DA SILVA,MOMBACA-CE,2018,"REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE MOMBACA – CEARA.                                                                                                                                     ",0557,16/04/2018 a 27/04/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.690,64"
5970,LUIS GONZAGA DE ALMEIDA,BRASILIA-DF,2018,PARTICIPACAO EM REUNIOES OFICIAIS RELACIONADAS A PROJETOS NA AREA DE SEGURANCA PUBLICA E CAPTACAO DE RECURSOS PARA O PROGRAMA MUNICIPAL DE PROTECAO URBANA (PMPU) JUNTO A SECRETARIA NACIONAL DE SEGURANCA PUBLICA (SENASP).                                   ,0061,15/05/2018 a 18/05/2018,Pago,12.101-GABINETE DO VICE-PREFEITO,"2.200,00"
5971,HENRIQUE ARAUJO MARQUES MENDES,BRASILIA-DF,2018,"COM O OBJETIVO DE TRATAR DE ASSUNTOS DE INTERESSE DO MUNICIPIO NO SUPREMO TRIBUNAL FEDERAL, NO DIA 23 05 2018, EM BRASILIA.                                                                                                                                    ",0234,22/05/2018 a 23/05/2018,Pago,13.101-PROCURADORIA GERAL DO MUNICIPIO,"960,00"
5972,FRANCISCO NACÉLIO SAMPAIO BOMFIM JÚNIOR,IGUATU-CE,2018,"PARA ACOMPANHAR OS TECNICOS E O COORDENADOR DE VIGILANCIA A SAUDE - COVIS, NA PARTICIPACAO E APRESENTACAO DE TRABALHOS TECNICOS NO XVII CONGRESSO DO CONSELHO DAS SECRETARIAS MUNICIPAIS DE SAUDE DO CEARA - COSEMS, NO PERIODO DE 23 A 25 DE MAIO DE 2018, NA ",5284,23/05/2018 a 25/05/2018,Pago,25.901-FUNDO MUNICIPAL DE SAUDE,"330,00"
5973,MARCELO SAMPAIO SIQUEIRA,ITAUNA-MG,2018,"PARTICIPACAO DO PROCURADOR MARCELO SAMPAIO SIQUEIRA NO VI SEMINARIO INTERNACIONAL: PROTECAO DOS DIREITOS HUMANOS, A SE REALIZAR EM ITAUNA MG NOS DIAS 23 A 25 DE MAIO DE 2018.                                                                                 ",0026,22/05/2018 a 25/05/2018,Pago,13.901-FUNDO DE APERFEICOAMENTO DA PROCURADORIA GERAL DO MUNICIPIO,"1.920,00"
5974,RENATO CESAR PEREIRA LIMA,RECIFE-PE,2018,PARTICIPAR DO PROGRAMA DE IMERSAO - REDE NACIONAL DE EMPREENDEDORES SOCIAIS.                                                                                                                                                                                   ,2086,10/06/2018 a 15/06/2018,Pago,15.101-SECRETARIA MUNICIPAL DE GOVERNO,"2.700,00"
5975,SERGIO FERREIRA DA SILVA,RECIFE-PE,2018,COM O OBJETIVO DE PARTICIPAR DA  1O. REUNIAO REGIONAL DO SISTEMA BRASILEIRO DE INTELIGENCIA NORDESTE .                                                                                                                                                         ,0257,01/05/2018 a 02/05/2018,Anulado,17.101-SECRETARIA MUNICIPAL DA SEGURANCA CIDADA,"760,00"
5976,JOSE LOBO FILHO,DUQUE DE CAXIAS-RJ,2018,"PARA PARTICIPAR DO ENCONTRO TECNICO - PROCEDIMENTOS DE FISCALIZACAO EM CRONOTACOGRAFOS, PROMOVIDO PELA CORED, EM DUQUE DE CAXIAS- RIO DE JANEIRO.                                                                                                              ",0593,07/05/2018 a 07/05/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.822,13"
5977,EXPEDITO CARNEIRO DO NASCIMENTO,UBAJARA-CE,2018,PAGAMENTO DE DIARIAS TECNICAS PARA REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO. NO MUNICIPIO DE UBAJARA-CE.                                                                                                       ,0609,21/05/2018 a 01/06/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.690,64"
5978,JOSE DE RIBAMAR FONTENELE MORAES,VICOSA DO CEARA-CE,2018,PAGAMENTO DE DIARIAS TECNICAS PARA REALIZAR VERIFICACOES FISCALIZACOES EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO. NO MUNICIPIO DE VICOSA DO CEARA-CE.                                                                                               ,0611,04/06/2018 a 19/06/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"3.587,52"
5979,JOSE NAIRTON MACEDO COSTA,MAURITI-CE,2014,REALIZAR SUPREVISAO EM INSTRUMENTOS DE MEDIR NO MUNICIPIO DE MAURITI-CE                                                                                                                                                                                        ,0584,28/07/2014 a 07/08/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.937,98"
5980,JOSE WILLIAM MELO FILHO,CAUCAIA-CE,2018,"PAGAMENTO DE 0,50 (MEIA) DIARIA TECNICA PARA REALIZAR VISITA DE CONCESSAO, MANUTENCAO E RENOVACAO DE REGISTRO NO INTERIOR DO ESTADO DO CEARA, CAUCAIA-CE.                                                                                                      ",0622,02/05/2018 a 02/05/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"224,22"
5981,JOSE EDGLE MENEZES VITORIANO,HORIZONTE-CE,2018,"PAGAMENTO DE 0,50 (MEIA) DIARIA TECNICA PARA REALIZAR VISITA DE CONCESSAO, MANUTENCAO E RENOVACAO DE REGISTRO NO INTERIOR DO ESTADO DO CEARA, HORIZONTE-CE.                                                                                                    ",0623,20/04/2018 a 20/04/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"251,96"
5982,ANA MANUELA MARINHO NOGUEIRA,SAO PAULO-SP,2018,"REFERENTE A 02 (DUAS) DIARIAS PARA A SECRETARIA MUNICIPAL DE INFRAESTRUTURA, ANA MANUELA MARINHO NOGUEIRA, NO TRECHO FORTALEZA SAO PAULO FORTALEZA, COM O OBJETIVO DE PARTICIPAR DO  PROGRAMA DE GRI PPP’S E CONCESSOES EM MUNICIPIOS 2018 , NO DIA 20 06 2018,",0379,19/06/2018 a 20/06/2018,Pago,27.101-SECRETARIA MUNICIPAL DA INFRAESTRUTURA,"1.100,00"
5983,ASTRID CAMARA BEZERRA,SAO PAULO-SP,2018,DIARIAS PARA A SERVIDORA ACOMPANHAR A SECRETARIA MARIA AGUEDA PONTES CAMINHA MUNIZ E REALIZAR ARTICULACAO INSTITUCIONAL ENTRE A PREFEITURA MUNICIPAL DE FORTALEZA E AS EMPRESAS DE NEGOCIOS URBANOS DE SAO PAULO NOS DIAS 19 A 21 DE JUNHO DE 2018 EM SAO PAULO,0015,18/06/2018 a 21/06/2018,Pago,28.902-FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO,"2.200,00"
5984,JOSE LOBO FILHO,IRAUCUBA-CE,2018,REALIZAR VERIFICACOES EM BALANCAS E MEDIDORES DE VELOCIDADE.                                                                                                                                                                                                   ,0661,25/04/2018 a 27/04/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"958,98"
5985,ANTONIO ASSIS MORAES,SOBRAL-CE,2018,"PAGAMENTO DE DESPESA COM 1,5 (UMA DIARIA ADMINISTRATIVA E MEIA), DO DIA 07 06 2018 A 08 06 2018, PARA REALIZAR REUNIAO ADMINISTRATIVA E TECNICA COM OS SERVIDORES DA AGENCIA REGIONAL DE SOBRAL-CE.                                                            ",0673,07/06/2018 a 07/06/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"377,94"
5986,TATIANE CARNEIRO DE CASTRO,OLINDA-PE,2018,COMPOR O CORPO DOCENTE NA  FORMACAO CONTINUADA SOBRE IMPLEMENTACAO DE NUCLEOS COMUNITARIOS E PRATICAS DE MEDIACAO DE CONFLITOS                                                                                                                                 ,0312,09/07/2018 a 12/07/2018,Pago,17.101-SECRETARIA MUNICIPAL DA SEGURANCA CIDADA,"1.520,00"
5987,OLINDA MARIA DOS SANTOS,BRASILIA-DF,2018,"02(DUAS) DIARIAS NA REGIAO II, PARA A SECRETARIA EXECUTIVA DA HABITAFOR, COM O OBJETIVO DE PARTICIPAR DA DEFESA DE REPROGRAMACAO DOS CONTRATOS DO CPAC, EM BRASILIA.                                                                                           ",0167,19/07/2018 a 20/07/2018,Pago,34.101-SECRETARIA MUNICIPAL DO DESENVOLVIMENTO HABITACIONAL DE FORTALEZA,"1.100,00"
5988,MARIA EDILENE SILVA OLIVEIRA,BRASILIA-DF,2018,"DIARIAS PARA A SERVIDORA MARIA EDILENE SILVA OLIVEIRA, QUE PARTICIPOU DO  WORKSHOP NACIONAL: COMO FINANCIAR AS ACOES CLIMATICAS DOS GOVERNOS LOCAIS - URBAN LEDS II  NO DIA 03 DE JULHO DE 2018, EM BRASILIA DF.                                               ",0021,02/07/2018 a 03/07/2018,Pago,28.901-FUNDO DE DEFESA DO MEIO AMBIENTE,"480,00"
5989,LUIS ALBUQUERQUE SAMPAIO,BARBALHA-CE,2018,"PAGAMENTO DE (4,5) QUATRO E MEIA DIARIAS ADMINISTRATIVAS R$224,22, MAIS ADICIONAL DE DESLOCAMENTO R$309,18, BEM COMO CONCEDER PASSAGEM AEREA DE IDA E VOLTA PARA REALIZAR AVALIACAO EM POSTO DE ENSAIO DE CRONOTACOGRAFO, EM BARBALHA-CE.                      ",0692,02/07/2018 a 02/07/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.318,17"
5990,PLINIO ROQUE DA CRUZ FILHO,ABAIARA-CE,2014,REALIZAR SUPREVISAO EM INSTRUMENTOS DE MEDIR NO MUNICIPIO DE ABAIARA-CE                                                                                                                                                                                        ,0585,02/06/2014 a 13/06/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
5991,FRANCISCO CARLOS MELO COSTA,CAUCAIA-CE,2018,"PAGAMENTO DE (0,5)MEIA DIARIA TECNICA, PARA REALIZAR FISCALIZACOES E VERIFICACOES EM MEDIDORES DE VELOCIDADE, NO INTERIOR DO ESTADO DO CEARA, CAUCAIA-CE.                                                                                                      ",0693,04/07/2018 a 04/07/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"224,22"
5992,ANTONIO LUIZ PEREIRA FRANCO,REDENCAO-CE,2018,"PAGAMENTO DE (2,5)DUAS E MEIA DIARIAS TECNICAS, PARA REALIZAR FISCALIZACOES E VERIFICACOES EM MEDIDORES DE VELOCIDADE, NO INTERIOR DO ESTADO DO CEARA EM REDENCAO-CE.                                                                                          ",0697,08/05/2018 a 10/05/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"755,88"
5993,SAMUEL ANTONIO SILVA DIAS,BRASILIA-DF,2018,ACOMPANHAR O SR PREFEITO ROBERTO CLAUDIO RODRIGUES BEZERRA E TRATAR DE ASSUNTOS DE INTERESSE DA MUNICIPALIDADE.                                                                                                                                                ,0912,07/03/2018 a 09/03/2018,Pago,15.101-SECRETARIA MUNICIPAL DE GOVERNO,"2.100,00"
5994,MIGUEL ROCHA NASSER HISSA,RECIFE-PE,2018,"PARA PARTICIPAR DE JULGAMENTO DO PROCESSO DO BNB NO AC 595893, NO DIA 22 02 2018, EM RECIFE.                                                                                                                                                                   ",0113,21/02/2018 a 22/02/2018,Anulado,13.101-PROCURADORIA GERAL DO MUNICIPIO,"900,00"
5995,NATALIA SOARES RIOS,BRASILIA-DF,2018,REUNIAO EXTRAORDINARIA PARA ACELERAR A INAUGURACAO DA CASA DA MULHER BRASILEIRA EM FORTALEZA.                                                                                                                                                                  ,0113,26/02/2018 a 27/02/2018,Pago,31.101-SECRETARIA MUNICIPAL DOS DIREITOS HUMANOS E DESENVOLVIMENTO SOCIAL,"1.440,00"
5996,SERGIO GOMES CAVALCANTE,SAO PAULO-SP,2018,ACOMPANHAR O SENHOR PREFEITO ROBERTO CLAUDIO A REALIZAR VISTA AO CENTRO EMPRESARIAL ITAU UNIBANCO                                                                                                                                                              ,0115,27/02/2018 a 27/02/2018,Pago,31.101-SECRETARIA MUNICIPAL DOS DIREITOS HUMANOS E DESENVOLVIMENTO SOCIAL,"1.400,00"
5997,TICIANA MOTA SALES,SAO PAULO-SP,2018,"VALOR REFERENTE A CONCESSAO DE 02 (DUAS) DIARIAS, POR OCASIAO DE SUA VIAGEM PARA SAO PAULO, COM O OBJETIVO DE PARTICIPAR DO 1O SEMINARIO SOBRE ORGANIZACOES SOCIAIS DE SAUDE: TRANSPARENCIA E EFICIENCIA, CONFORME ATO N  557 2017 ANEXO.                      ",0262,08/11/2017 a 09/11/2017,Pago,11.101-GABINETE DO PREFEITO,"960,00"
5998,MARCIA DIAS SOARES,RECIFE-PE,2018,PARTICIPAR DO PROGRAMA DE IMERSAO REDE NACIONAL DE EMPREENDEDORES SOCIAIS.                                                                                                                                                                                     ,0273,11/06/2018 a 16/06/2018,Pago,31.201-FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,"2.280,00"
5999,PAULO SADAT FERNANDES DE OLIVEIRA,BRASILIA-DF,2018,ACOMPANHAR O SR. VANILTON BEZERRA PINTO E PARTICIPAR DA REUNIAO COM O COORDENADOR DOS SINES DO MINISTERIO DO TRABALHO.                                                                                                                                         ,0357,03/09/2018 a 04/09/2018,Pago,26.101-SECRETARIA MUNICIPAL DO DESENVOLVIMENTO ECONOMICO,"960,00"
6000,FRANCISCO FERREIRA DA SILVA,RUSSAS-CE,2018,"REALIZAR VERIFICACAO FISCALIZACAO EM INSTRUMENTOS DE MEDIR REGULAMENTADOS PELO INMETRO, NO MUNICIPIO DE RUSSAS  – CEARA.                                                                                                                                       ",1080,15/10/2018 a 26/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.690,64"
6001,JOSE LOBO FILHO,ARACAJU-SE,2014,"DIARIAS DE DESLOCAMENTO BEM COMO CONCEDER PASSAGEM AEREA DE IDA E VOLTA PARA O TRECHO FORTALEZA ARACAJU FORTALEZA, PARA PARTICIPAR DO 16 ENCONTRO TECNICO DA DIRETORIA DE AVALIACAO DA CONFORMIDADE - DCONF COM A RBMLQ-I.                                     ",1137,03/11/2014 a 03/11/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"1.847,09"
6002,PLINIO ROQUE DA CRUZ FILHO,BARRO-CE,2014,REALIZAR SUPREVISAO EM INSTRUMENTOS DE MEDIR NO MUNICIPIO DE BARRO-CE                                                                                                                                                                                          ,0586,14/07/2014 a 25/07/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
6003,JOAQUIM SAVIO VIEIRA DOS SANTOS,ITAPIPOCA-CE,2018,"DIARIAS PARA REALIZAR FISCALIZACAO EM PRODUTOS COM CONFORMIDADE AVALIADA, NO  ESTADO DO CEARA.                                                                                                                                                                 ",1082,15/10/2018 a 26/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.690,64"
6004,FRANCISCO ETEVALDO SILVA BARRETO,MARACANAU-CE,2018,"PAGAMENTO DE DIARIAS TECNICAS PARA REALIZAR FISCALIZACAO EM PRODUTOS PRE-MEDIDOS, NO INTERIOR DO ESTADO DO CEARA, NO MUNICIPIO DE MARACANAU-CE.                                                                                                                ",1087,16/10/2018 a 19/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"448,44"
6005,LUIZ SÉRGIO FERREIRA,MARACANAU-CE,2018,"PAGAMENTO DE MEIAS DIARIAS TECNICAS PARA REALIZAR FISCALIZACAO EM PRODUTOS PRE-MEDIDOS, NO INTERIOR DO ESTADO DO CEARA, NO MUNICIPIO DE MARACANAU-CE.                                                                                                          ",1091,15/10/2018 a 15/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"112,11"
6006,LUIZ SÉRGIO FERREIRA,MARACANAU-CE,2018,"PAGAMENTO DE MEIAS DIARIAS TECNICAS PARA REALIZAR FISCALIZACAO EM PRODUTOS PRE-MEDIDOS, NO INTERIOR DO ESTADO DO CEARA, NO MUNICIPIO DE MARACANAU-CE.                                                                                                          ",1092,16/10/2018 a 19/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"448,44"
6007,LUIZ SÉRGIO FERREIRA,MARACANAU-CE,2018,"PAGAMENTO DE MEIA DIARIA TECNICA PARA REALIZAR FISCALIZACAO EM PRODUTOS PRE-MEDIDOS, NO INTERIOR DO ESTADO DO CEARA, NO MUNICIPIO DE MARACANAU-CE.                                                                                                             ",1093,22/10/2018 a 22/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"112,11"
6008,JOAO ARAUJO CRUZ,AQUIRAZ-CE,2018,"PAGAMENTO DE MEIAS DIARIAS TECNICAS PARA REALIZAR FISCALIZACAO EM PRODUTOS PRE-MEDIDOS, NO INTERIOR DO ESTADO DO CEARA, NO MUNICIPIO DE MARACANAU-CE.                                                                                                          ",1094,01/10/2018 a 05/10/2018,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"560,55"
